time,open,high,low,close
1702231200000,1.35647,1.35647,1.35647,1.35647
1702231500000,1.35672,1.35677,1.35672,1.35677
1702231800000,1.35707,1.35853,1.35707,1.35853
1702232100000,1.35873,1.35873,1.35873,1.35873
1702232400000,1.35775,1.35904,1.35775,1.35904
1702232700000,1.35803,1.35803,1.35803,1.35803
1702233000000,1.35778,1.35778,1.35778,1.35778
1702233300000,1.35773,1.35773,1.35773,1.35773
1702233600000,1.35773,1.35773,1.35773,1.35773
1702233900000,1.35792,1.35794,1.35792,1.35794
1702234500000,1.35792,1.35792,1.35792,1.35792
1702235400000,1.35773,1.35773,1.35773,1.35773
1702236000000,1.35792,1.35792,1.35792,1.35792
1702236600000,1.35792,1.35792,1.35792,1.35792
1702236900000,1.35773,1.35773,1.35773,1.35773
1702237200000,1.35792,1.35792,1.35792,1.35792
1702238400000,1.35773,1.3582,1.35773,1.3582
1702238700000,1.35816,1.35816,1.35816,1.35816
1702239000000,1.358,1.358,1.358,1.358
1702239600000,1.35801,1.35801,1.35801,1.35801
1702239900000,1.358,1.358,1.358,1.358
1702240500000,1.35801,1.35801,1.35799,1.35799
1702241400000,1.35801,1.35801,1.35801,1.35801
1702242000000,1.35774,1.35799,1.35774,1.35792
1702242300000,1.35792,1.35797,1.35774,1.35797
1702242600000,1.35781,1.35797,1.35777,1.35781
1702242900000,1.35797,1.35797,1.35777,1.35777
1702243200000,1.35801,1.35815,1.3577,1.35782
1702243500000,1.35817,1.35817,1.3577,1.35782
1702243800000,1.35782,1.3579,1.35782,1.35782
1702244100000,1.35782,1.358,1.35767,1.358
1702244400000,1.35792,1.35821,1.35767,1.35821
1702245000000,1.35774,1.35821,1.35774,1.35821
1702245300000,1.35763,1.3579,1.35763,1.3579
1702245600000,1.3579,1.35794,1.35768,1.35777
1702245900000,1.35794,1.35853,1.35778,1.35846
1702246200000,1.35845,1.35854,1.35792,1.35831
1702246500000,1.35852,1.35852,1.35799,1.35838
1702246800000,1.35839,1.35851,1.35801,1.3584
1702247100000,1.35845,1.35851,1.35831,1.35844
1702247400000,1.35853,1.35866,1.35837,1.35865
1702247700000,1.35864,1.35869,1.35837,1.35863
1702248000000,1.35864,1.35864,1.35828,1.35828
1702248300000,1.35856,1.35856,1.35799,1.35799
1702248600000,1.35798,1.35848,1.35798,1.35821
1702248900000,1.35824,1.35845,1.35789,1.35799
1702249200000,1.3582,1.35865,1.35809,1.35824
1702249500000,1.35823,1.35823,1.35796,1.35799
1702249800000,1.35806,1.35825,1.35798,1.35825
1702250100000,1.35821,1.35834,1.35814,1.3583
1702250400000,1.35831,1.35832,1.35792,1.35797
1702250700000,1.35797,1.35816,1.35792,1.35813
1702251000000,1.35815,1.35836,1.35812,1.35834
1702251300000,1.35833,1.35835,1.35804,1.35824
1702251600000,1.35825,1.35841,1.35816,1.35835
1702251900000,1.35836,1.35848,1.35834,1.35843
1702252200000,1.35844,1.35854,1.35843,1.3585
1702252500000,1.35848,1.3585,1.35808,1.35808
1702252800000,1.35809,1.35834,1.35784,1.35827
1702253100000,1.35823,1.35844,1.35816,1.35836
1702253400000,1.35837,1.35843,1.35816,1.3582
1702253700000,1.35822,1.35832,1.35818,1.3583
1702254000000,1.35824,1.35825,1.3578,1.358
1702254300000,1.3578,1.35853,1.3578,1.3582
1702254600000,1.35842,1.3586,1.3582,1.35843
1702254900000,1.3583,1.35853,1.3582,1.35844
1702255200000,1.35845,1.35854,1.3582,1.35852
1702255500000,1.35853,1.3586,1.3582,1.35855
1702255800000,1.35856,1.35871,1.3583,1.35862
