time,open,high,low,close
1705985100,1.08944,1.08986,1.08943,1.08984
1705986000,1.08984,1.08994,1.0897,1.08972
1705986900,1.08972,1.09002,1.08967,1.09001
1705987800,1.09001,1.09046,1.09001,1.09042
1705988700,1.09042,1.09079,1.09038,1.09068
1705989600,1.09068,1.0907,1.09015,1.09018
1705990500,1.09018,1.0908,1.09017,1.0907499999999999
1705991400,1.0907499999999999,1.09079,1.09049,1.09072
1705992300,1.09072,1.09141,1.0907,1.0914
1705993200,1.0914,1.09149,1.09108,1.09146
1705994100,1.09146,1.09162,1.0906,1.09089
1705995000,1.09089,1.09131,1.09036,1.09059
1705995900,1.09059,1.09096,1.09042,1.09082
1705996800,1.09082,1.09105,1.09029,1.09038
1705997700,1.09038,1.09047,1.0901399999999999,1.09037
1705998600,1.09037,1.09074,1.0896,1.08979
1705999500,1.08979,1.0899,1.08923,1.0895
1706000400,1.0895,1.08952,1.08855,1.08889
1706001300,1.08889,1.08949,1.08872,1.0892
1706002200,1.0892,1.0893599999999999,1.0887,1.08876
1706003100,1.08876,1.08904,1.08834,1.0887499999999999
1706004000,1.0887499999999999,1.08883,1.08809,1.0883
1706004900,1.0883,1.0885799999999999,1.0881399999999999,1.08844
1706005800,1.08844,1.08857,1.08792,1.08793
1706006700,1.08793,1.08793,1.08673,1.08695
1706007600,1.08695,1.0872,1.08671,1.08715
1706008500,1.08715,1.08715,1.08601,1.08634
1706009400,1.08634,1.0865799999999999,1.08625,1.08647
1706010300,1.08647,1.08674,1.0862,1.08663
1706011200,1.08663,1.08722,1.08653,1.0871899999999999
1706012100,1.0871899999999999,1.08733,1.08617,1.08621
1706013000,1.08621,1.08646,1.08606,1.08625
1706013900,1.08625,1.08667,1.08602,1.08638
1706014800,1.08638,1.08717,1.08638,1.08687
1706015700,1.08687,1.08711,1.08657,1.08709
1706016600,1.08709,1.08747,1.08676,1.08716
1706017500,1.08716,1.08758,1.08689,1.08739
1706018400,1.08739,1.0874,1.0865799999999999,1.08704
1706019300,1.08704,1.08709,1.08625,1.08646
1706020200,1.08646,1.0865,1.08535,1.08575
1706021100,1.08575,1.08579,1.08484,1.08526
1706022000,1.08526,1.08582,1.08447,1.08487
1706022900,1.08487,1.08501,1.08349,1.08384
1706023800,1.08384,1.08387,1.08215,1.08234
1706024700,1.08234,1.08345,1.08229,1.08307
1706025600,1.08307,1.08396,1.08307,1.08335
1706026500,1.08335,1.08387,1.08288,1.08381
1706027400,1.08381,1.08382,1.08295,1.083
1706028300,1.083,1.083,1.08256,1.08281
1706029200,1.08281,1.08327,1.08241,1.08317
1706030100,1.08317,1.08357,1.08296,1.08346
1706031000,1.08346,1.0835299999999999,1.08273,1.0828
1706031900,1.0828,1.08335,1.08244,1.08314
1706032800,1.08314,1.08362,1.08303,1.08355
1706033700,1.08355,1.08393,1.08352,1.08379
1706034600,1.08379,1.08393,1.08361,1.0836999999999999
1706035500,1.0836999999999999,1.08383,1.08339,1.0836999999999999
1706036400,1.0836999999999999,1.08391,1.08359,1.08378
1706037300,1.08378,1.08411,1.0836999999999999,1.08403
1706038200,1.08403,1.08476,1.08399,1.08468
1706039100,1.08468,1.08468,1.08439,1.08452
1706040000,1.08452,1.08491,1.08435,1.08478
1706040900,1.08478,1.0849,1.08446,1.0844799999999999
1706041800,1.0844799999999999,1.08458,1.08437,1.08454
1706042700,1.08454,1.08501,1.08454,1.08497
1706043600,1.08497,1.08531,1.08482,1.08511
1706044500,1.08511,1.08547,1.08502,1.08532
1706045400,1.08532,1.08558,1.08517,1.08517
1706046300,1.08517,1.08541,1.08515,1.08533
1706047200,1.08533,1.08538,1.08441,1.0849199999999999
1706048100,1.0849199999999999,1.08533,1.0849199999999999,1.08523
1706049000,1.08523,1.08545,1.08523,1.08542
1706049900,1.08542,1.0855,1.08523,1.08528
1706050800,1.08528,1.08581,1.08528,1.08579
1706051700,1.08579,1.0859,1.08575,1.08584
1706052600,1.08584,1.08593,1.08575,1.08576
1706053500,1.08576,1.08576,1.08558,1.08572
1706054400,1.08572,1.08591,1.0856,1.08589
1706055300,1.08589,1.08598,1.08554,1.08558
